Messstelle:                ;Schwaighofbrücke
   01.01.2002    31.12.2002;OWF-WT/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2003    31.12.2003;OWF-Q/Im Jän,Feb,Apr,Jun,Jul,Aug,Sep,Okt,Nov,Dez trocken
   01.01.2004    31.12.2004;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2004    31.12.2004;OWF-Q/Im Jän,Feb,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2005    31.12.2005;OWF-Q/Im Jän,Feb durch Eis beeinflusst
   01.01.2005    31.12.2005;OWF-WT/Im Jän,Feb durch Eis beeinflusst
   01.01.2006    31.12.2006;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2006    31.12.2006;OWF-WT/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-Q/Im Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2007    31.12.2007;OWF-WT/Im Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-Q/Im Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2008    31.12.2008;OWF-WT/Im Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-Q/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2009    31.12.2009;OWF-WT/Im Jun,Aug,Okt nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Jän,Feb nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-Q/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2010    31.12.2010;OWF-WT/Im Feb,Apr,Mai,Jun,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2011    31.12.2011;OWF-Q/Im Jän,Dez durch Eis beeinflusst
   01.01.2011    31.12.2011;OWF-WT/Im Jän,Dez durch Eis beeinflusst
   01.01.2012    31.12.2012;OWF-Q/Im Apr nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-Q/Im Feb,Mrz,Apr nach ergänzten Wasserständen ermittelt
   01.01.2012    31.12.2012;OWF-WT/Im Feb,Mrz,Apr nach ergänzten Wasserständen ermittelt
   01.01.2013    31.12.2013;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Okt,Nov,Dez durch Eis beeinflusst
   01.01.2013    31.12.2013;OWF-WT/Im Jän,Feb,Mrz,Apr,Mai,Okt,Nov,Dez durch Eis beeinflusst
   01.01.2014    31.12.2014;OWF-Q/Im Mrz,Apr,Nov nach ergänzten Wasserständen ermittelt
   01.01.2015    31.12.2015;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jul,Aug,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz,Apr,Mai,Jun,Jul,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2017    31.12.2017;OWF-Q/Im Jän,Feb,Mrz nach ergänzten Wasserständen ermittelt
   01.01.2018              ;OWF-W/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-Q/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018              ;OWF-WT/ab JB 2018 Neuberechnung des Flusskilometers
   01.01.2018    31.12.2018;OWF-Q/Im Jän,Feb,Aug,Sep,Dez nach ergänzten Wasserständen ermittelt
   01.01.2019    31.12.2019;OWF-Q/Im Dez nach ergänzten Wasserständen ermittelt
   01.01.2020    31.12.2020;OWF-Q/Im Jän,Feb,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez nach ergänzten Wasserständen ermittelt
   01.01.2021    31.12.2021;OWF-Q/Im Aug nach ergänzten Wasserständen ermittelt

